name,openset
WM021_3NT,"Video Cues: Direct eye contact is maintained throughout, a slight head tilt is visibles, mouth movements consistent with speech, no visible self-touching or fidgeting is present, facial expression remains relatively neutral with subtle lip movement and occasional eyebrow raise.; Audio Cues: Prosody and timing: speech rate varies and includes pauses and hesitations; the rhythm is uneven with fillers. Voice quality and tension: pitch variation is unstable; loudness/energy is high with strain/tension.; Reasoning: From the visual channel, the main cues are largely forward or steady gaze, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting. From the audio channel, the main cues are timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability. Across modalities, these cues can reflect ordinary formulation and mild monitoring rather than a clear deceptive pattern, leaving the overall evidence more consistent with a truthful prediction.; Prediction: truthful."
WF024_2NL,"Video Cues: Gaze frequently shifts downward and to the side, with occasional brief eye contact; eyelids blink at a moderate rate; lips move with speech; there are no visible self-touching or fidgeting behaviors; facial expression remains relatively neutral with slight eyebrow raises during speech.; Audio Cues: Reliable audio evidence is unavailable; Reasoning: The visual channel contributes an absence of visible self-touching or fidgeting, mild facial tension or small facial adjustments, while the audio channel contributes limited vocal evidence. Considering both modalities together, the cue pattern is not decisive on its own but still aligns more with a deceptive than a truthful prediction.; Prediction: deceptive."
WF025_2NL,"Video Cues: Gaze shifts downward and to the side intermittently; eyelids blink at a moderate rate; lips move with speech; no visible self-touching or fidgeting; facial expression remains relatively neutral with slight eyebrow raises; head remains mostly still with minor tilts.; Audio Cues: Prosody/Timing: speech rate varies with pauses between phrases, hesitations before key negative descriptors; rhythm is uneven with interruptions in sentence flow. Voice quality/Tension: pitch variation is unstable with upward inflections during complaints, loudness/energy increases during critical statements, breathiness noticeable during emotional emphasis, strain/tension evident in sharper vocal delivery during accusatory segments.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WF023_2NL,"Video Cues: Gaze remains mostly forward with occasional downward glances; lips move with speech; right hand briefly touches near neck; no significant self-touching or fidgeting observed; facial expression remains relatively neutral with slight smiling; head position mostly stable with minor shifts.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven with fillers. Voice quality/Tension: pitch variation is present with unstable loudness/energy; breathiness and strain/tension are noticeable.; Reasoning: Visual evidence shows some gaze shifts or downward glances. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WF017_2NL,"Video Cues: Gaze shifts downward and to the sides, frequent blinking, slight head tilts, lips parted during speech, no visible self-touching or fidgeting, facial expressions vary from smiling to furrowed brow.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven due to fillers. Voice quality/Tension: pitch variation is present; loudness/energy fluctuates; breathiness is noticeable; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WM001_2NL,"Video Cues: Eyes frequently downcast or closed, minimal sustained eye contact, slight head tilts and shifts, lips moving with mouth open during speech, no visible self-touching or fidgeting, facial expression remains relatively neutral with subtle mouth movements.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven due to fillers and self-repairs. Voice quality/Tension: pitch variation is present with instability; loudness/energy fluctuates; breathiness is noticeable; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WF025_3NT,"Video Cues: Gaze frequently shifts downward and to the side, with occasional brief upward glances; eyelids blink at a moderate rate; lips move with speech; there are no visible self-touching or fidgeting behaviors; facial expression remains mostly neutral with slight smiling at times; a mostly still head position is observed with minor tilts.; Audio Cues: Reliable audio evidence is unavailable; Reasoning: The visual channel contributes an absence of visible self-touching or fidgeting, while the audio channel contributes limited vocal evidence. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
BM014_4PL,"Video Cues: Direct eye contact maintained throughout, frequent upward and lateral glances, wide-eyed expressions, mouth movements synchronized with speech, no visible self-touching or fidgeting, relaxed posture, and consistent smiling with teeth visible.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven with fillers. Voice quality/Tension: pitch variation is present; loudness/energy fluctuates; breathiness is noticeable; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows largely forward or steady gaze, an absence of visible self-touching or fidgeting. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WF014_3NT,"Video Cues: Eyes frequently blink and shift downward; forehead wrinkles; mouth moves with jaw motion; no visible self-touching or fidgeting; head remains mostly steady with slight forward tilts; facial expression shows tension and emotional display without clear gaze aversion.; Audio Cues: Prosody/Timing: speech rate varied with pauses between clauses, hesitations before phrase boundaries boundary; rhythm uneven with interruptions in sentence flow. Voice quality/Tension: pitch variation present during emotional descriptors, loudness/energy fluctuated with emphasis on a phrase and a phrase; breathiness noted during longer pauses, tremor/shakiness is not observed, strain/tension present during descriptive phrases, voice breaks not observed.; Reasoning: Visual evidence shows subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, mild facial tension or small facial adjustments. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, no clear tremor or shakiness. Taken together, the cross-modal evidence remains non-specific and does not provide strong support for deception, so the overall balance stays more compatible with a truthful prediction.; Prediction: truthful."
WF021_2NL,"Video Cues: Gaze shifts downward and to the side, occasional blinks, a slight head tilt is visibles, lips parted during speech, no visible self-touching or fidgeting is present, neutral facial expression with subtle eyebrow movement.; Audio Cues: Prosody and timing: speech rate varies and includes pauses and hesitations; the rhythm is uneven with fillers are present and a phrase. Voice quality and tension: pitch variation is unstable with moments of strain; loudness and energy fluctuate with breathiness and occasional tremor/shakiness.; Reasoning: From the visual channel, the main cues are some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, limited head movement or mild tilts. From the audio channel, the main cues are timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy. Across modalities, the combined cues are more compatible with monitored or strategically managed responding than with fully relaxed delivery, which leaves the evidence leaning toward a deceptive prediction.; Prediction: deceptive."
WF009_2NL,"Video Cues: The gaze intermittently drops downward and to the side; eyelids blink at moderate rate; the lips are slightly parted with visible jaw movement; no visible self-touching or fidgeting is present; facial expression remains relatively neutral with slight eyebrow raises.; Audio Cues: Prosody and timing: speech rate is rapid with frequent pauses between clauses; hesitations are present before key complaints. Rhythm is uneven due to emotional emphasis; fillers are not明显 observed. Voice quality and tension: pitch variation is high and unstable, especially during emotional peaks; loudness and energy fluctuate with intensity; breathiness is present during longer sentences; no tremor or shakiness is observed; strain/tension is evident in vocal delivery; no voice breaks are observed.; Reasoning: From the visual channel, the main cues are subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, mild facial tension or small facial adjustments. From the audio channel, the main cues are timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. Across modalities, the combined cues are more compatible with monitored or strategically managed responding than with fully relaxed delivery, which leaves the evidence leaning toward a deceptive prediction.; Prediction: deceptive."
WM016_4PL,"Video Cues: Gaze frequently shifts downward and to the sides, eyelids blink normally, lips move with speech, there are no visible self-touching or fidgeting behaviors, a mostly still head position is observed with slight tilts, facial expression shows mild engagement with occasional micro-smiles.; Audio Cues: Timing and prosody: speech rate is moderate with frequent pauses and hesitations; rhythm is uneven due to fillers and self-repairs. Vocal quality/tension: a moderate degree of pitch variation can be heard with slight instability; the loudness/energy level stays consistent but with moments of breathiness and subtle strain.; Reasoning: The visual channel contributes an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, relatively consistent loudness or energy. Considering both modalities together, the cue pattern is not decisive on its own but still aligns more with a deceptive than a truthful prediction.; Prediction: deceptive."
WF019_2NL,"Video Cues: Gaze shifts downward and to the sides, frequent blinking, slight head tilts, lips parting and jaw moving during speech, no visible self-touching or fidgeting, facial expression remains relatively neutral with subtle eyebrow raises.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven with fillers. Voice quality/Tension: pitch variation is present; loudness/energy fluctuates; breathiness is noticeable; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
BM013_3NT,"Video Cues: Gaze shifts downward and to the side intermittently; lips move with speech; no visible self-touching or fidgeting; facial expression remains relatively neutral with slight eyebrow raises; head remains mostly steady with minor tilts.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven due to fillers. Voice quality/Tension: pitch variation is present with instability; loudness/energy fluctuates with strain/tension observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, mild facial tension or small facial adjustments. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy. Taken together, the cross-modal evidence remains non-specific and does not provide strong support for deception, so the overall balance stays more compatible with a truthful prediction.; Prediction: truthful."
WM005_3NT,"Video Cues: Gaze shifts downward and to the side, occasional blinks, slight lip parting appears together with jaw movement, a mostly still head position is observed with minor tilts, there are no visible self-touching or fidgeting behaviors, facial expression neutral with slight mouth tension.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by fillers. Vocal quality/tension: pitch variation is unstable; there are fluctuations in loudness/energy with breathiness and strain/tension.; Reasoning: The visual channel contributes some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
BM014_3NT,"Video Cues: Gaze shifts slightly downward and to the side while maintaining partial eye contact; lips move with visible jaw motion; no noticeable self-touching, fidgeting, or posture changes; facial expression remains consistently smiling with slight mouth tension during speech-like movements.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by interruptions and self-repairs. Vocal quality/tension: pitch variation is unstable with loudness/energy fluctuating; breathiness and tremor/shakiness are present, indicating strain/tension.; Reasoning: The visual channel contributes subtle mouth or jaw movement, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
BM014_2NL,"Video Cues: Gaze shifts upward and to the sides, frequent blinking, the head shows a slight tilts, mouth movements consistent with speech, there are no visible self-touching or fidgeting behaviors, facial expression transitions from neutral to smiling to wide-eyed, an upright posture is maintained, no discernible tension or restlessness.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by fillers and self-repairs. Vocal quality/tension: pitch variation is unstable; loudness/energy is inconsistent with moments of strain/tension and breathiness.; Reasoning: The visual channel contributes an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability. Considering both modalities together, the cue pattern is not decisive on its own but still aligns more with a deceptive than a truthful prediction.; Prediction: deceptive."
WM027_2NL,"Video Cues: Intermittent downward and sideward gaze shifts are visible; eyelids blink at a moderate rate; mouth moves with speech; there are no visible self-touching or fidgeting behaviors; a mostly still head position is observed with slight forward tilts; facial expression remains relatively neutral with subtle eyebrow movements.; Audio Cues: Timing and prosody: speech rate is fast with frequent pauses and hesitations; uneven rhythm is accompanied by interruptions and self-repairs. Vocal quality/tension: pitch variation is unstable with high energy and loudness; breathiness and tremor/shakiness are present, indicating strain/tension and voice breaks.; Reasoning: The visual channel contributes some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability. Considering both modalities together, the cue pattern is not decisive on its own but still aligns more with a deceptive than a truthful prediction.; Prediction: deceptive."
WM024_4PL,"Video Cues: The gaze remains mostly forward with occasional downward glances; eyelids blink at a moderate rate; lips move with jaw motion; no visible self-touching, fidgeting, or tension in posture or shoulders; facial expression shows slight forehead wrinkling and mouth tension during speech.; Audio Cues: Prosody and timing: speech rate is moderate with frequent pauses and hesitations; rhythm is uneven due to fillers and self-repairs. Voice quality and tension: pitch variation is moderate with slight instability; loudness/energy remains consistent but not high; breathiness is present; no tremor or shakiness is observed; no strain or tension is observed; no voice breaks are observed.; Reasoning: From the visual channel, the main cues are some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting. From the audio channel, the main cues are timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, relatively consistent loudness or energy, audible breathiness. Across modalities, the combined cues are more compatible with monitored or strategically managed responding than with fully relaxed delivery, which leaves the evidence leaning toward a deceptive prediction.; Prediction: deceptive."
WM016_2NL,"Video Cues: Intermittent downward and sideward gaze shifts are visible; lips slightly parted with subtle jaw movement; there are no visible self-touching or fidgeting behaviors; a mostly still head position is observed with slight forward tilt; a neutral facial expression is maintained with minimal micro-expressions.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by fillers and self-repairs. Vocal quality/tension: pitch variation is unstable; there are fluctuations in loudness/energy; noticeable breathiness is present; no tremor/shakiness is present; strain/tension is moderate; no voice breaks are present.; Reasoning: The visual channel contributes some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. Considering both modalities together, the cue pattern is not decisive on its own but still aligns more with a deceptive than a truthful prediction.; Prediction: deceptive."
WF006_4PL,"Video Cues: Gaze shifts downward and to the side, frequent blinking, a slight head tilt is visibles, lips parted during speech, no visible self-touching or fidgeting is present, facial expression remains relatively neutral with subtle smiling.; Audio Cues: Reliable audio evidence is unavailable; Reasoning: From the visual channel, the main cues are some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, limited head movement or mild tilts. From the audio channel, the main cues are limited vocal evidence. Across modalities, the combined cues are more compatible with monitored or strategically managed responding than with fully relaxed delivery, which leaves the evidence leaning toward a deceptive prediction.; Prediction: deceptive."
WM013_1PT,"Video Cues: Gaze shifts downward and to the side, occasional blinks, lips slightly parted during speech, head tilts subtly, no visible self-touching or fidgeting, facial expression remains relatively neutral with slight smiling.; Audio Cues: Prosody/Timing: speech rate is moderate with occasional pauses, hesitations present; rhythm is uneven with self-repairs; Voice quality/Tension: pitch variation is moderate with some instability; loudness/energy is consistent but with slight drops during pauses; breathiness is present; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, relatively consistent loudness or energy, audible breathiness. Taken together, the cross-modal evidence remains non-specific and does not provide strong support for deception, so the overall balance stays more compatible with a truthful prediction.; Prediction: truthful."
BM013_1PT,"Video Cues: Steady direct eye contact is maintained across the segment, slight head nods, mouth movements synchronized with speech, there are no visible self-touching or fidgeting behaviors, facial expression remains relatively steady with subtle eyebrow raises.; Audio Cues: Timing and prosody: speech rate is moderate with frequent pauses and hesitations; rhythm is uneven due to fillers are present and a phrase; voice quality/Tension: a moderate degree of pitch variation can be heard with slight instability; the loudness/energy level stays consistent but not high; noticeable breathiness is present; no tremor/shakiness is present; strain/tension is absent; no voice breaks are present.; Reasoning: The visual channel contributes largely forward or steady gaze, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, relatively consistent loudness or energy, audible breathiness. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
WM020_4PL,"Video Cues: Gaze remains mostly forward with slight downward glances; no noticeable eye contact shifts or blinking rate changes; no self-touching, fidgeting, or posture shifts observed; facial expression remains relatively neutral with subtle mouth movements during apparent speech.; Audio Cues: Prosody/Timing: speech rate is moderate with frequent pauses and hesitations; rhythm is uneven due to fillers. Voice quality/Tension: pitch variation is stable; loudness/energy is consistent; breathiness is present; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, relatively consistent loudness or energy, audible breathiness. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
BM017_3NT,"Video Cues: Gaze shifts downward and to the side, eyebrows slightly furrowed, lips parted mid-movement, head tilts slightly, no visible self-touch or fidgeting, posture appears upright and still.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by fillers. Vocal quality/tension: pitch variation is unstable; there are fluctuations in loudness/energy; noticeable breathiness is present; tremor/shakiness is noticeable; strain/tension is evident; voice breaks occur.; Reasoning: The visual channel contributes some gaze shifts or downward glances, limited head movement or mild tilts, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
